nom,link,nevades,dataReport,neuPista,estado,maximNevada,minimNevada
Baqueira/Beret,https://es.snow-forecast.com/resorts/Baqueira-Beret/snow-report,10,publicado el 15 Apr 2019,Spring snow,Open,85,160
Boi Taull,https://es.snow-forecast.com/resorts/Boi-Taull/snow-report,1,publicado el 12 Apr 2019,-,-,,
Candanchu,https://es.snow-forecast.com/resorts/Candanchu/snow-report,8,publicado el 15 Apr 2019,Spring snow,Open,40,135
Cerler,https://es.snow-forecast.com/resorts/Cerler/snow-report,1,publicado el 15 Apr 2019,Spring snow,closed,,110
Espot Esquí,https://es.snow-forecast.com/resorts/SuperEspot/snow-report,2,publicado el 12 Apr 2019,-,-,,
Formigal,https://es.snow-forecast.com/resorts/Formigal/snow-report,14,publicado el 15 Apr 2019,Spring snow,Open,50,75
Fuentes de Invierno,https://es.snow-forecast.com/resorts/FuentesdeInvierno/snow-report,16,publicado el 15 Apr 2019,Spring snow,open,40,170
Javalambre,https://es.snow-forecast.com/resorts/Javalambre/snow-report,1,publicado el  8 Apr 2019,-,-,,
La Molina,https://es.snow-forecast.com/resorts/La-Molina/snow-report,6,publicado el 12 Apr 2019,-,-,,
La-Pinilla,https://es.snow-forecast.com/resorts/La-Pinilla/snow-report,6,publicado el 10 Apr 2019,-,-,,
Larra-Belagua Nordic Ski Cente,https://es.snow-forecast.com/resorts/Roncalia/snow-report,6,publicado el 12 Apr 2019,-,-,,
Leitariegos,https://es.snow-forecast.com/resorts/Leitariegos/snow-report,15,publicado el 10 Apr 2019,-,-,,
Lunada,https://es.snow-forecast.com/resorts/Lunada/snow-report,7,publicado el 10 Apr 2019,-,-,,
Manzaneda,https://es.snow-forecast.com/resorts/Manzaneda/snow-report,14,publicado el 10 Apr 2019,-,-,,
Masella,https://es.snow-forecast.com/resorts/Masella/snow-report,5,publicado el 15 Apr 2019,Spring snow,Open,20,90
Panticosa,https://es.snow-forecast.com/resorts/Panticosa/snow-report,13,publicado el 10 Apr 2019,-,-,,
Picos De Europa,https://es.snow-forecast.com/resorts/Picos-De-Europa/snow-report,20,publicado el 10 Apr 2019,-,-,,
Port Del Comte,https://es.snow-forecast.com/resorts/PortDelComte/snow-report,5,publicado el 11 Apr 2019,-,-,,
Port-Ainé,https://es.snow-forecast.com/resorts/PortAine/snow-report,4,publicado el  9 Apr 2019,-,-,,
Puerto de Navacerrada,https://es.snow-forecast.com/resorts/PuertoDeNavacerrada/snow-report,10,publicado el 11 Apr 2019,-,-,,
Puerto de Navafria,https://es.snow-forecast.com/resorts/Puerto-de-Navafria/snow-report,7,publicado el 10 Apr 2019,-,-,,
Pyrenees Heliski,https://es.snow-forecast.com/resorts/PyreneesHeliski/snow-report,2,publicado el 12 Apr 2019,-,-,,
San-Isidro,https://es.snow-forecast.com/resorts/San-Isidro/snow-report,16,publicado el 10 Apr 2019,-,-,,
Sierra de Béjar - La Covatilla,https://es.snow-forecast.com/resorts/Sierradebejar/snow-report,11,publicado el 11 Apr 2019,-,-,,
Sierra Nevada,https://es.snow-forecast.com/resorts/Sierra-Nevada/snow-report,20,publicado el 15 Apr 2019,Spring snow,Open,40,300
Tavascan - Pleta del Prat,https://es.snow-forecast.com/resorts/Tavascan-Pleta-del-Prat/snow-report,5,publicado el 12 Apr 2019,-,-,,
Valdelinares,https://es.snow-forecast.com/resorts/Valdelinares/snow-report,1,publicado el  8 Apr 2019,-,-,,
Valdesqui,https://es.snow-forecast.com/resorts/Valdesqui/snow-report,10,publicado el 11 Apr 2019,-,-,,
Valdezcaray,https://es.snow-forecast.com/resorts/Valdezcaray/snow-report,7,publicado el 10 Apr 2019,-,-,,
Valgrande-Pajares,https://es.snow-forecast.com/resorts/Valgrande-Pajares/snow-report,10,publicado el 10 Apr 2019,-,-,,
Vall de Núria,https://es.snow-forecast.com/resorts/ValldeNuria/snow-report,8,publicado el 12 Apr 2019,-,-,,
Vallter 2000,https://es.snow-forecast.com/resorts/Vallter2000/snow-report,9,publicado el 12 Apr 2019,-,-,,
Adelboden,https://es.snow-forecast.com/resorts/Adelboden/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Aeschi,https://es.snow-forecast.com/resorts/Aeschi/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Airolo,https://es.snow-forecast.com/resorts/Airolo/snow-report,5,publicado el 14 Apr 2019,-,closed,,
Alt St. Johann/Toggenburg,https://es.snow-forecast.com/resorts/AltStJohannToggenburg/snow-report,22,publicado el 15 Apr 2019,-,closed,,
Amden,https://es.snow-forecast.com/resorts/Amden/snow-report,18,publicado el 15 Apr 2019,-,closed,,
Andermatt,https://es.snow-forecast.com/resorts/Andermatt/snow-report,11,publicado el 15 Apr 2019,Packed powder or groomed snow,Open,69,600
Anzère,https://es.snow-forecast.com/resorts/Anzere/snow-report,3,publicado el 15 Apr 2019,Packed powder or groomed snow,Open,20,180
Arolla,https://es.snow-forecast.com/resorts/Arolla/snow-report,2,publicado el 15 Apr 2019,Packed powder or groomed snow,open,49,218
Arosa,https://es.snow-forecast.com/resorts/Arosa/snow-report,13,publicado el 15 Apr 2019,"Old corn snow, Hard",Open,120,240
Atzmännig Goldingen,https://es.snow-forecast.com/resorts/AtzmannigGoldingen/snow-report,4,publicado el 15 Apr 2019,-,closed,,
Avers,https://es.snow-forecast.com/resorts/Avers/snow-report,25,publicado el 15 Apr 2019,-,closed,,
Beatenberg,https://es.snow-forecast.com/resorts/Beatenberg/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Belalp - Blatten - Naters,https://es.snow-forecast.com/resorts/Belalp-Blatten-Naters/snow-report,5,publicado el 15 Apr 2019,-,closed,,
Bellwald / Goms,https://es.snow-forecast.com/resorts/BellwaldGoms/snow-report,6,publicado el 15 Apr 2019,-,closed,,
Bergün / Bravuogn,https://es.snow-forecast.com/resorts/BergunBravuogn/snow-report,25,publicado el 15 Apr 2019,-,closed,,
